model,json_file,section,BERTScore_F1,BERTScore_P,BERTScore_R,F,R,A,C,U
gaunernst/bert-L10-H768-uncased,9y3z2t4h.json,model_details,-0.21588189899921417,0.005219920538365841,-0.4216429889202118,5,5,5,5,5
gaunernst/bert-L10-H768-uncased,9y3z2t4h.json,intended_use,-0.5068325996398926,-0.220884770154953,-0.764401912689209,5,5,5,5,5
gaunernst/bert-L10-H768-uncased,9y3z2t4h.json,generative_capabilities,-0.4934583902359009,-0.20820535719394684,-0.750533401966095,4,5,4,4,4
gaunernst/bert-L10-H768-uncased,9y3z2t4h.json,safety_considerations,-0.5024731755256653,-0.21935516595840454,-0.7578409910202026,4,5,4,4,4
gaunernst/bert-L10-H768-uncased,9y3z2t4h.json,training_data,-0.45875951647758484,-0.16470907628536224,-0.722842812538147,5,5,5,5,5
gaunernst/bert-L10-H768-uncased,9y3z2t4h.json,performance_metrics,-0.504097044467926,-0.1792849600315094,-0.7916305065155029,4,5,4,4,4
gaunernst/bert-L10-H768-uncased,9y3z2t4h.json,ethical_considerations,-0.5016382932662964,-0.2366885095834732,-0.7426499724388123,5,5,5,5,5
gaunernst/bert-L10-H768-uncased,9y3z2t4h.json,caveats_recommendations,-0.32898589968681335,0.056012265384197235,-0.6625313758850098,5,5,5,5,5
gaunernst/bert-L10-H768-uncased,20rape6w.json,model_details,-0.22992150485515594,0.06352872401475906,-0.49436870217323303,3,5,3,4,3
gaunernst/bert-L10-H768-uncased,20rape6w.json,intended_use,-0.4988614022731781,-0.14099551737308502,-0.8111957311630249,4,5,4,4,4
gaunernst/bert-L10-H768-uncased,20rape6w.json,generative_capabilities,-0.6908321380615234,-0.45083755254745483,-0.9113700985908508,2,5,2,3,2
gaunernst/bert-L10-H768-uncased,20rape6w.json,safety_considerations,-0.791797935962677,-0.6765506267547607,-0.9064816236495972,1,5,1,3,1
gaunernst/bert-L10-H768-uncased,20rape6w.json,training_data,-0.5312463641166687,-0.21982459723949432,-0.8084299564361572,4,5,4,4,4
gaunernst/bert-L10-H768-uncased,20rape6w.json,performance_metrics,-0.5133594274520874,-0.22670041024684906,-0.7714601159095764,2,5,2,3,2
gaunernst/bert-L10-H768-uncased,20rape6w.json,ethical_considerations,-0.8234405517578125,-0.752461314201355,-0.897775411605835,1,5,1,2,1
gaunernst/bert-L10-H768-uncased,20rape6w.json,caveats_recommendations,-0.372445672750473,-0.08586691319942474,-0.630993664264679,4,5,4,4,4
gaunernst/bert-L10-H768-uncased,tlrj4bdf.json,model_details,-0.433665931224823,-0.2018435299396515,-0.6480541825294495,2,3,2,3,2
gaunernst/bert-L10-H768-uncased,tlrj4bdf.json,intended_use,-0.7724446654319763,-0.6218306422233582,-0.9182592630386353,1,2,1,2,1
gaunernst/bert-L10-H768-uncased,tlrj4bdf.json,generative_capabilities,-0.791797935962677,-0.6765506267547607,-0.9064816236495972,1,2,1,2,1
gaunernst/bert-L10-H768-uncased,tlrj4bdf.json,safety_considerations,-0.791797935962677,-0.6765506267547607,-0.9064816236495972,1,2,1,2,1
gaunernst/bert-L10-H768-uncased,tlrj4bdf.json,training_data,-0.4952404499053955,-0.1699201613664627,-0.7832080125808716,3,4,3,4,3
gaunernst/bert-L10-H768-uncased,tlrj4bdf.json,performance_metrics,-0.4856955409049988,-0.1356903463602066,-0.7922828197479248,1,2,1,2,1
gaunernst/bert-L10-H768-uncased,tlrj4bdf.json,ethical_considerations,-0.8234405517578125,-0.752461314201355,-0.897775411605835,1,3,1,3,1
gaunernst/bert-L10-H768-uncased,tlrj4bdf.json,caveats_recommendations,-0.7471964359283447,-0.5539200305938721,-0.9293297529220581,1,2,1,2,1
gaunernst/bert-L10-H768-uncased,hj4d0jmu.json,model_details,-0.33484309911727905,-0.0948963537812233,-0.5560412406921387,2,3,2,3,2
gaunernst/bert-L10-H768-uncased,hj4d0jmu.json,intended_use,-0.7724446654319763,-0.6218306422233582,-0.9182592630386353,1,1,1,2,1
gaunernst/bert-L10-H768-uncased,hj4d0jmu.json,generative_capabilities,-0.5222128033638,-0.2435201108455658,-0.7740345001220703,1,1,1,2,1
gaunernst/bert-L10-H768-uncased,hj4d0jmu.json,safety_considerations,-0.791797935962677,-0.6765506267547607,-0.9064816236495972,1,1,1,2,1
gaunernst/bert-L10-H768-uncased,hj4d0jmu.json,training_data,-0.45541825890541077,-0.10150545090436935,-0.7651143074035645,3,4,3,3,3
gaunernst/bert-L10-H768-uncased,hj4d0jmu.json,performance_metrics,-0.505767822265625,-0.17607715725898743,-0.7969877123832703,1,2,1,2,1
gaunernst/bert-L10-H768-uncased,hj4d0jmu.json,ethical_considerations,-0.8234405517578125,-0.752461314201355,-0.897775411605835,1,1,1,2,1
gaunernst/bert-L10-H768-uncased,hj4d0jmu.json,caveats_recommendations,-0.3518601953983307,0.2388668954372406,-0.8250076174736023,1,1,1,2,1
gaunernst/bert-L10-H768-uncased,3momyvux.json,model_details,-0.3791349232196808,-0.26545679569244385,-0.4916733205318451,3,3,3,3,3
gaunernst/bert-L10-H768-uncased,3momyvux.json,intended_use,-0.7724446654319763,-0.6218306422233582,-0.9182592630386353,1,1,1,1,1
gaunernst/bert-L10-H768-uncased,3momyvux.json,generative_capabilities,-0.791797935962677,-0.6765506267547607,-0.9064816236495972,1,1,1,1,1
gaunernst/bert-L10-H768-uncased,3momyvux.json,safety_considerations,-0.791797935962677,-0.6765506267547607,-0.9064816236495972,1,1,1,1,1
gaunernst/bert-L10-H768-uncased,3momyvux.json,training_data,-0.791797935962677,-0.6765506267547607,-0.9064816236495972,1,1,1,1,1
gaunernst/bert-L10-H768-uncased,3momyvux.json,performance_metrics,-0.791797935962677,-0.6765506267547607,-0.9064816236495972,1,1,1,1,1
gaunernst/bert-L10-H768-uncased,3momyvux.json,ethical_considerations,-0.8234405517578125,-0.752461314201355,-0.897775411605835,1,1,1,1,1
gaunernst/bert-L10-H768-uncased,3momyvux.json,caveats_recommendations,-0.7471964359283447,-0.5539200305938721,-0.9293297529220581,1,1,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,t9kls1qc.json,model_details,-0.6822820901870728,-0.7103800177574158,-0.6593567132949829,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,t9kls1qc.json,intended_use,-0.6103387475013733,-0.5610179901123047,-0.6636750102043152,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,t9kls1qc.json,generative_capabilities,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,t9kls1qc.json,safety_considerations,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,t9kls1qc.json,training_data,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,t9kls1qc.json,performance_metrics,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,t9kls1qc.json,ethical_considerations,-0.36437520384788513,-0.22560448944568634,-0.4993746280670166,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,t9kls1qc.json,caveats_recommendations,-0.583136796951294,-0.49789005517959595,-0.6701173782348633,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,wq85x7pw.json,model_details,-0.6822820901870728,-0.7103800177574158,-0.6593567132949829,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,wq85x7pw.json,intended_use,-0.6103387475013733,-0.5610179901123047,-0.6636750102043152,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,wq85x7pw.json,generative_capabilities,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,wq85x7pw.json,safety_considerations,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,wq85x7pw.json,training_data,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,wq85x7pw.json,performance_metrics,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,wq85x7pw.json,ethical_considerations,-0.6734974980354309,-0.6956467032432556,-0.6566185355186462,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,wq85x7pw.json,caveats_recommendations,-0.583136796951294,-0.49789005517959595,-0.6701173782348633,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o6cmlxzv.json,model_details,-0.36883386969566345,-0.12243784219026566,-0.5952339172363281,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o6cmlxzv.json,intended_use,-0.3270859122276306,-0.021863458678126335,-0.6004014611244202,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o6cmlxzv.json,generative_capabilities,-0.34906917810440063,-0.055850956588983536,-0.612919807434082,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o6cmlxzv.json,safety_considerations,-0.34906917810440063,-0.055850956588983536,-0.612919807434082,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o6cmlxzv.json,training_data,-0.34906917810440063,-0.055850956588983536,-0.612919807434082,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o6cmlxzv.json,performance_metrics,-0.34906917810440063,-0.055850956588983536,-0.612919807434082,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o6cmlxzv.json,ethical_considerations,-0.3613224923610687,-0.10791856795549393,-0.5934203863143921,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o6cmlxzv.json,caveats_recommendations,-0.33028167486190796,0.020034221932291985,-0.6380748748779297,1,2,1,1,1
ucatalin1/llama-3.3-70B-robotics-sft-merged,o5270sqg.json,model_details,-0.6899280548095703,-0.7275315523147583,-0.6572471261024475,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,o5270sqg.json,intended_use,-0.6103387475013733,-0.5610179901123047,-0.6636750102043152,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,o5270sqg.json,generative_capabilities,-0.29596349596977234,-0.07426465302705765,-0.5021552443504333,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,o5270sqg.json,safety_considerations,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,o5270sqg.json,training_data,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,o5270sqg.json,performance_metrics,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,o5270sqg.json,ethical_considerations,-0.6734974980354309,-0.6956467032432556,-0.6566185355186462,1,2,1,3,3
ucatalin1/llama-3.3-70B-robotics-sft-merged,o5270sqg.json,caveats_recommendations,-0.3246398866176605,-0.17561693489551544,-0.4686504602432251,1,2,1,3,3
ucatalin1/llama-3.3-70B-robotics-sft-merged,4eij00ho.json,model_details,-0.6899280548095703,-0.7275315523147583,-0.6572471261024475,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,4eij00ho.json,intended_use,-0.25163283944129944,0.013351195491850376,-0.4933227598667145,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,4eij00ho.json,generative_capabilities,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,4eij00ho.json,safety_considerations,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,4eij00ho.json,training_data,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,4eij00ho.json,performance_metrics,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,3,3
ucatalin1/llama-3.3-70B-robotics-sft-merged,4eij00ho.json,ethical_considerations,-0.3197542428970337,-0.15249907970428467,-0.4796972870826721,1,2,1,3,3
ucatalin1/llama-3.3-70B-robotics-sft-merged,4eij00ho.json,caveats_recommendations,-0.29694777727127075,-0.040796104818582535,-0.5314053893089294,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,d7rb1s9d.json,model_details,-0.681475818157196,-0.709197461605072,-0.658932626247406,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,d7rb1s9d.json,intended_use,-0.6103387475013733,-0.5610179901123047,-0.6636750102043152,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,d7rb1s9d.json,generative_capabilities,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,d7rb1s9d.json,safety_considerations,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,d7rb1s9d.json,training_data,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,d7rb1s9d.json,performance_metrics,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,3,3
ucatalin1/llama-3.3-70B-robotics-sft-merged,d7rb1s9d.json,ethical_considerations,-0.6734974980354309,-0.6956467032432556,-0.6566185355186462,1,2,1,3,3
ucatalin1/llama-3.3-70B-robotics-sft-merged,d7rb1s9d.json,caveats_recommendations,-0.2779610753059387,-0.014702870510518551,-0.5181987881660461,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,wd7oi0pe.json,model_details,-0.6822820901870728,-0.7103800177574158,-0.6593567132949829,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,wd7oi0pe.json,intended_use,-0.6103387475013733,-0.5610179901123047,-0.6636750102043152,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,wd7oi0pe.json,generative_capabilities,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,wd7oi0pe.json,safety_considerations,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,wd7oi0pe.json,training_data,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,2,2
ucatalin1/llama-3.3-70B-robotics-sft-merged,wd7oi0pe.json,performance_metrics,-0.635770320892334,-0.6184583306312561,-0.6582201719284058,1,2,1,3,3
ucatalin1/llama-3.3-70B-robotics-sft-merged,wd7oi0pe.json,ethical_considerations,-0.36437520384788513,-0.22560448944568634,-0.4993746280670166,1,2,1,3,3
ucatalin1/llama-3.3-70B-robotics-sft-merged,wd7oi0pe.json,caveats_recommendations,-0.583136796951294,-0.49789005517959595,-0.6701173782348633,1,2,1,2,2
Xwin-LM/Xwin-Math-7B-V1.1,sgbm65q5.json,model_details,-0.2593992352485657,-0.07671436667442322,-0.43263036012649536,4,4,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,sgbm65q5.json,intended_use,-0.2526662051677704,-0.09897331148386002,-0.40070250630378723,4,4,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,sgbm65q5.json,generative_capabilities,-0.20378434658050537,-0.10352393984794617,-0.3037165701389313,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,sgbm65q5.json,safety_considerations,-0.685865581035614,-0.5523143410682678,-0.8166671395301819,2,2,2,3,2
Xwin-LM/Xwin-Math-7B-V1.1,sgbm65q5.json,training_data,-0.19869810342788696,-0.07388472557067871,-0.3209567666053772,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,sgbm65q5.json,performance_metrics,-0.2971395254135132,-0.1685391217470169,-0.42297086119651794,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,sgbm65q5.json,ethical_considerations,-0.7267677783966064,-0.6398527026176453,-0.8156197667121887,2,2,2,3,2
Xwin-LM/Xwin-Math-7B-V1.1,sgbm65q5.json,caveats_recommendations,-0.6343251466751099,-0.4307180643081665,-0.8251639604568481,2,2,2,3,2
Xwin-LM/Xwin-Math-7B-V1.1,7te8tvq0.json,model_details,-0.3003462255001068,-0.16155540943145752,-0.4352744519710541,4,4,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,7te8tvq0.json,intended_use,-0.2744103670120239,0.02495734579861164,-0.5433560013771057,4,4,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,7te8tvq0.json,generative_capabilities,-0.34094467759132385,-0.21562665700912476,-0.4639052450656891,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,7te8tvq0.json,safety_considerations,-0.685865581035614,-0.5523143410682678,-0.8166671395301819,2,2,2,2,2
Xwin-LM/Xwin-Math-7B-V1.1,7te8tvq0.json,training_data,-0.21142993867397308,-0.08878746628761292,-0.33175453543663025,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,7te8tvq0.json,performance_metrics,-0.25030744075775146,-0.13195085525512695,-0.36683374643325806,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,7te8tvq0.json,ethical_considerations,-0.7267677783966064,-0.6398527026176453,-0.8156197667121887,2,2,2,2,2
Xwin-LM/Xwin-Math-7B-V1.1,7te8tvq0.json,caveats_recommendations,-0.6343251466751099,-0.4307180643081665,-0.8251639604568481,2,2,2,2,2
Xwin-LM/Xwin-Math-7B-V1.1,5pxt6rid.json,model_details,-0.2199118435382843,-0.1507621705532074,-0.29094040393829346,5,5,4,5,4
Xwin-LM/Xwin-Math-7B-V1.1,5pxt6rid.json,intended_use,-0.3018810749053955,0.044944167137145996,-0.6072110533714294,4,4,4,4,3
Xwin-LM/Xwin-Math-7B-V1.1,5pxt6rid.json,generative_capabilities,-0.19645023345947266,0.06819891929626465,-0.43799424171447754,5,5,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,5pxt6rid.json,safety_considerations,-0.4477493464946747,-0.04408809170126915,-0.7938395142555237,2,2,2,2,2
Xwin-LM/Xwin-Math-7B-V1.1,5pxt6rid.json,training_data,-0.3071008026599884,-0.03901568800210953,-0.5511471033096313,5,5,4,5,4
Xwin-LM/Xwin-Math-7B-V1.1,5pxt6rid.json,performance_metrics,-0.301931232213974,0.0037345283199101686,-0.5756924152374268,5,5,4,4,3
Xwin-LM/Xwin-Math-7B-V1.1,5pxt6rid.json,ethical_considerations,-0.4280361831188202,-0.1252763271331787,-0.6990184187889099,4,4,5,4,3
Xwin-LM/Xwin-Math-7B-V1.1,5pxt6rid.json,caveats_recommendations,-0.3321791887283325,-0.05245107412338257,-0.5854414105415344,4,4,4,4,3
Xwin-LM/Xwin-Math-7B-V1.1,lofas1ek.json,model_details,-0.1358836591243744,0.004406297579407692,-0.27190545201301575,2,2,3,2,2
Xwin-LM/Xwin-Math-7B-V1.1,lofas1ek.json,intended_use,-0.23632892966270447,0.03962448984384537,-0.48685985803604126,4,3,3,2,2
Xwin-LM/Xwin-Math-7B-V1.1,lofas1ek.json,generative_capabilities,-0.14774000644683838,0.017933305352926254,-0.3061693012714386,5,5,4,3,4
Xwin-LM/Xwin-Math-7B-V1.1,lofas1ek.json,safety_considerations,-0.685865581035614,-0.5523143410682678,-0.8166671395301819,1,1,1,1,1
Xwin-LM/Xwin-Math-7B-V1.1,lofas1ek.json,training_data,-0.2772402763366699,-0.10976407676935196,-0.43734514713287354,5,5,4,3,4
Xwin-LM/Xwin-Math-7B-V1.1,lofas1ek.json,performance_metrics,-0.0963277518749237,0.18690930306911469,-0.35305795073509216,5,5,3,2,2
Xwin-LM/Xwin-Math-7B-V1.1,lofas1ek.json,ethical_considerations,-0.3834717273712158,-0.15074801445007324,-0.5986742377281189,5,5,4,3,4
Xwin-LM/Xwin-Math-7B-V1.1,lofas1ek.json,caveats_recommendations,-0.6343251466751099,-0.4307180643081665,-0.8251639604568481,1,1,1,1,1
Xwin-LM/Xwin-Math-7B-V1.1,tyr1k12v.json,model_details,-0.4782964289188385,-0.29018068313598633,-0.6561894416809082,1,1,1,1,1
Xwin-LM/Xwin-Math-7B-V1.1,tyr1k12v.json,intended_use,-0.368553102016449,-0.07347261160612106,-0.6337902545928955,3,2,2,2,2
Xwin-LM/Xwin-Math-7B-V1.1,tyr1k12v.json,generative_capabilities,-0.31902533769607544,-0.09400597214698792,-0.5279505848884583,4,2,2,2,2
Xwin-LM/Xwin-Math-7B-V1.1,tyr1k12v.json,safety_considerations,-0.685865581035614,-0.5523143410682678,-0.8166671395301819,1,1,1,1,1
Xwin-LM/Xwin-Math-7B-V1.1,tyr1k12v.json,training_data,-0.29800617694854736,-0.12058985233306885,-0.46672090888023376,5,5,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,tyr1k12v.json,performance_metrics,-0.2833256125450134,-0.09462857246398926,-0.4617111086845398,4,4,4,2,3
Xwin-LM/Xwin-Math-7B-V1.1,tyr1k12v.json,ethical_considerations,-0.7267677783966064,-0.6398527026176453,-0.8156197667121887,1,1,1,1,1
Xwin-LM/Xwin-Math-7B-V1.1,tyr1k12v.json,caveats_recommendations,-0.3837708532810211,-0.09517723321914673,-0.6438642740249634,3,2,2,2,2
Xwin-LM/Xwin-Math-7B-V1.1,2tg5pizx.json,model_details,-0.08002296835184097,0.04813215136528015,-0.20507842302322388,4,5,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,2tg5pizx.json,intended_use,-0.2073078453540802,0.12265186011791229,-0.5002819299697876,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,2tg5pizx.json,generative_capabilities,-0.1446516066789627,0.018412282690405846,-0.30079588294029236,4,5,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,2tg5pizx.json,safety_considerations,-0.685865581035614,-0.5523143410682678,-0.8166671395301819,1,5,1,3,2
Xwin-LM/Xwin-Math-7B-V1.1,2tg5pizx.json,training_data,-0.2041749358177185,-0.03933653607964516,-0.36192476749420166,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,2tg5pizx.json,performance_metrics,-0.07318328320980072,0.1383296549320221,-0.2709634602069855,4,5,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,2tg5pizx.json,ethical_considerations,-0.3834717273712158,-0.15074801445007324,-0.5986742377281189,4,5,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,2tg5pizx.json,caveats_recommendations,-0.36119604110717773,-0.06512165814638138,-0.6272388696670532,3,5,3,4,3
Xwin-LM/Xwin-Math-7B-V1.1,3hcws2wy.json,model_details,-0.2361721247434616,-0.13281753659248352,-0.33901509642601013,4,5,4,4,4
Xwin-LM/Xwin-Math-7B-V1.1,3hcws2wy.json,intended_use,-0.2526662051677704,-0.09897331148386002,-0.40070250630378723,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,3hcws2wy.json,generative_capabilities,-0.21816757321357727,-0.12508423626422882,-0.3115208148956299,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,3hcws2wy.json,safety_considerations,-0.370392382144928,-0.14183354377746582,-0.5821850299835205,4,5,4,3,3
Xwin-LM/Xwin-Math-7B-V1.1,3hcws2wy.json,training_data,-0.21086524426937103,-0.09053958207368851,-0.32909736037254333,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,3hcws2wy.json,performance_metrics,-0.28896525502204895,-0.1788364052772522,-0.3981036841869354,5,5,5,5,5
Xwin-LM/Xwin-Math-7B-V1.1,3hcws2wy.json,ethical_considerations,-0.3928135633468628,-0.17152546346187592,-0.5985695123672485,3,5,3,3,3
Xwin-LM/Xwin-Math-7B-V1.1,3hcws2wy.json,caveats_recommendations,-0.34865278005599976,-0.09828314930200577,-0.5783188343048096,4,5,4,4,4
goldfish-models/mal_mlym_100mb,jxtjgced.json,model_details,-0.22831390798091888,-0.23192988336086273,-0.2286948263645172,5,5,5,5,5
goldfish-models/mal_mlym_100mb,jxtjgced.json,intended_use,-0.17308008670806885,0.04192810133099556,-0.3737667500972748,5,5,5,5,5
goldfish-models/mal_mlym_100mb,jxtjgced.json,generative_capabilities,-0.16444562375545502,0.010174175724387169,-0.33067142963409424,4,5,4,5,4
goldfish-models/mal_mlym_100mb,jxtjgced.json,safety_considerations,-0.2171960175037384,-0.09445098787546158,-0.3376238942146301,3,4,3,4,3
goldfish-models/mal_mlym_100mb,jxtjgced.json,training_data,-0.14361542463302612,-0.049802202731370926,-0.2374664843082428,5,5,5,5,5
goldfish-models/mal_mlym_100mb,jxtjgced.json,performance_metrics,-0.24944853782653809,-0.091803178191185,-0.4009515047073364,4,4,4,4,4
goldfish-models/mal_mlym_100mb,jxtjgced.json,ethical_considerations,-0.18688800930976868,-0.037673916667699814,-0.3308999538421631,4,5,4,5,4
goldfish-models/mal_mlym_100mb,jxtjgced.json,caveats_recommendations,-0.18807287514209747,0.020949017256498337,-0.383715957403183,5,5,5,5,5
goldfish-models/mal_mlym_100mb,qqzrlf8a.json,model_details,-0.18445225059986115,-0.19192546606063843,-0.18082106113433838,5,5,5,5,5
goldfish-models/mal_mlym_100mb,qqzrlf8a.json,intended_use,-0.1737217903137207,0.022438300773501396,-0.3584635555744171,5,5,5,5,5
goldfish-models/mal_mlym_100mb,qqzrlf8a.json,generative_capabilities,-0.18192432820796967,-0.011648247949779034,-0.34439170360565186,4,5,4,5,4
goldfish-models/mal_mlym_100mb,qqzrlf8a.json,safety_considerations,-0.18371696770191193,0.012902641668915749,-0.36885032057762146,3,4,3,4,3
goldfish-models/mal_mlym_100mb,qqzrlf8a.json,training_data,-0.12913119792938232,-0.051974572241306305,-0.207440584897995,5,5,5,5,5
goldfish-models/mal_mlym_100mb,qqzrlf8a.json,performance_metrics,-0.17087388038635254,-0.046139128506183624,-0.2930118143558502,4,4,4,4,4
goldfish-models/mal_mlym_100mb,qqzrlf8a.json,ethical_considerations,-0.22699591517448425,-0.008877331390976906,-0.4302579462528229,4,5,4,5,4
goldfish-models/mal_mlym_100mb,qqzrlf8a.json,caveats_recommendations,-0.1910065859556198,0.040004413574934006,-0.40503278374671936,5,5,5,5,5
goldfish-models/mal_mlym_100mb,9kepadah.json,model_details,0.14147739112377167,0.39358362555503845,-0.09037657827138901,5,5,5,5,5
goldfish-models/mal_mlym_100mb,9kepadah.json,intended_use,-0.01607663929462433,0.3941807448863983,-0.3704986870288849,5,5,5,5,5
goldfish-models/mal_mlym_100mb,9kepadah.json,generative_capabilities,-0.12590612471103668,0.14680655300617218,-0.3741137385368347,3,4,3,4,3
goldfish-models/mal_mlym_100mb,9kepadah.json,safety_considerations,-0.666618287563324,-0.6439565420150757,-0.694403350353241,2,3,2,3,2
goldfish-models/mal_mlym_100mb,9kepadah.json,training_data,-0.377910852432251,-0.27306875586509705,-0.48241743445396423,4,5,4,5,4
goldfish-models/mal_mlym_100mb,9kepadah.json,performance_metrics,-0.666618287563324,-0.6439565420150757,-0.694403350353241,2,2,2,3,2
goldfish-models/mal_mlym_100mb,9kepadah.json,ethical_considerations,-0.40692946314811707,-0.2965531051158905,-0.516528844833374,2,3,2,3,2
goldfish-models/mal_mlym_100mb,9kepadah.json,caveats_recommendations,0.0215644221752882,0.32571476697921753,-0.2521573603153229,4,5,4,5,4
goldfish-models/mal_mlym_100mb,p2rnzbc1.json,model_details,0.04920711740851402,0.15534180402755737,-0.05555099621415138,5,5,5,5,5
